cell,integration_cluster,cell_type,sample_type
X232330326600091.T,1,Exhausted CD8+ T cells,T
X232330326817070.T,5,B Cell,T
X232330326858091.N,0,Effector/Memory CD4+ T cells,N
X232438996351277.N,3,Pro-angiogenesis Macrophage,N
X232438996618102.T,0,CD4+ T cell,T
X232438997104988.T,0,CD4+ T cell,T
X232439011043692.N,7,Macrophage,N
X232439011261677.T,1,Exhausted CD8+ T cells,T
X232439011306806.T,7,Macrophage,T
X232439011458460.T,3,Macrophage,T
X232439011796707.T,15,pDC,T
X232439023524782.T,5,B Cell,T
X232439023622046.N,3,Pro-angiogenesis Macrophage,N
X232439023781733.N,8,Lung Cancer Cell,N
X232439024073459.T,5,B Cell,T
X232439024143716.T,4,Phagocytosis Macrophage,T
X232439024335779.N,8,Normal Fibroblast,N
X232439024343342.N,7,Pro-angiogenesis Macrophage,N
X232439024376563.T,0,Tfh/Th1 helper CD4+ T cells,T
X232439042987828.N,3,Pro-angiogenesis Macrophage,N
X232439043214710.T,0,CD4+ T cell,T
X232449733933302.T,3,Pro-angiogenesis Macrophage,T
X232449733933996.T,1,CD4 or CD8 T cell,T
X232449733938539.T,5,B Cell,T
X232449734008164.N,2,Pro-angiogenesis Macrophage,N
X232449734044388.T,5,B Cell,T
X232449734461275.N,3,Pro-angiogenesis Macrophage,N
X232449734523300.T,4,Effector/Memory CD8+ T cells,T
X232449760966558.T,1,Exhausted CD8+ T cells,T
X232449761266532.T,0,CD8+ T cell,T
X232449761299253.N,7,Pro-inflammatory Macrophage,N
X232449761565917.T,1,Exhausted CD8+ T cells,T
X232449779809581.N,0,Lung Cancer Cell,N
X232449780136371.N,0,Effector/Memory CD4+ T cells,N
X232449780378532.N,4,Naive CD4+ T cells,N
X232449780596068.T,0,CD4+ T cell,T
X232449780669787.T,5,B Cell,T
X232450538985900.T,0,CD4+ T cell,T
X232450539089132.N,4,Pro-angiogenesis Macrophage,N
X232450539510582.T,5,B Cell,T
X232450539547492.T,12,Endothelial Cells,T
X232450553730862.N,2,Pro-angiogenesis Macrophage,N
X232450554218348.T,0,CD4+ T cell,T
X232450554251693.T,5,B Cell,T
X232450585122676.N,2,Pro-angiogenesis Macrophage,N
X232450585189158.T,5,B Cell,T
X232450585389412.T,0,CD4+ T cell,T
X232450585421662.T,0,CD8+ T cell,T
X232450585684331.N,2,Pro-angiogenesis Macrophage,N
X234992220102059.N,0,Blood Cell,N
X234992220400540.N,7,Pro-angiogenesis Macrophage,N
X234992234786100.T,1,Exhausted CD8+ T cells,T
X234992234813301.T,12,Endothelial Cells,T
X234992234851611.T,14,Mast cell,T
X234992247717110.N,6,Natural killer cell,N
X234992248219893.N,1,Effector/Memory CD4+ T cells,N
X234992266569563.N,7,Macrophage,N
X234992266825139.N,1,Effector/Memory CD4+ T cells,N
X235000944282548.T,4,Blood Cell,T
X235000944282846.T,7,Macrophage,T
X235000944318198.T,4,Blood Cell,T
X235000944514998.N,2,Pro-angiogenesis Macrophage,N
X235000959191909.N,3,Pro-angiogenesis Macrophage,N
X235000959196075.T,1,Exhausted CD8+ T cells,T
X235000959778085.N,6,Natural killer cell,N
X235000959814363.T,0,Effector/Memory CD8+ T cells,T
X235000971880795.N,2,Pro-angiogenesis Macrophage,N
X235000972065564.N,0,Effector/Memory CD4+ T cells,N
X235000972111260.N,4,Pro-angiogenesis Macrophage,N
X235000972299678.T,12,Endothelial Cells,T
X235000990456614.N,13,Lung Cancer Cell,N
X235000990653230.T,2,Macrophage,T
X235000990984036.T,0,Effector/Memory CD8+ T cells,T
X235007386801947.N,13,Lung Cancer Cell,N
X235007386802997.N,1,Effector/Memory CD8+ T cells,N
X235007387055902.N,2,Pro-angiogenesis Macrophage,N
X235007387056035.T,0,Effector/Memory CD4+ T cells,T
X235007387481908.T,7,Macrophage,T
X235007401650605.T,4,Macrophage,T
X235007402273051.T,1,CD4 or CD8 T cell,T
X235007414061942.N,0,Effector/Memory CD4+ T cells,N
X235007414299421.T,0,T regulatory cells,T
X235007433136933.T,9,Exhausted CD8+ T cells,T
X235007433467629.N,2,Pro-angiogenesis Macrophage,N
X235007433652971.N,0,Effector/Memory CD4+ T cells,N
X235007433689948.N,1,Effector/Memory CD4+ T cells,N
X235069797947820.T,7,Macrophage,T
X235069798271797.N,2,Pro-angiogenesis Macrophage,N
X235069798804316.T,0,T regulatory cells,T
X235069812653412.N,2,Pro-angiogenesis Macrophage,N
X235069812890539.T,2,Phagocytosis Macrophage,T
X235069812959083.N,4,Macrophage,N
X235069813152603.N,2,Pro-angiogenesis Macrophage,N
X235069813410547.N,2,Pro-angiogenesis Macrophage,N
X235069813442333.N,2,Pro-angiogenesis Macrophage,N
X235069813442804.T,5,B Cell,T
X235069813512107.N,8,Non Blood Cell,N
X235069825477044.N,13,Lung Cancer Cell,N
X235069825740019.N,3,Pro-angiogenesis Macrophage,N
X235069844973790.N,7,Macrophage,N
X235070737729973.T,0,T regulatory cells,T
X235070737837413.T,1,CD8+ T cell,T
X235070737987373.N,0,Natural killer cell,N
X235070738091251.N,3,Pro-angiogenesis Macrophage,N
X235070752185772.T,1,Exhausted CD8+ T cells,T
X235070752246133.N,4,Macrophage,N
X235070752417636.T,1,CD8+ T cell,T
X235070752483100.N,6,Natural killer cell,N
X235070752767259.T,5,B Cell,T
X235070753033059.N,7,Macrophage,N
X235070753033443.N,1,Effector/Memory CD4+ T cells,N
X235070764996902.T,1,CD4 or CD8 T cell,T
X235070765288307.T,0,CD4 or CD8 T cell,T
X235070783641381.T,1,Exhausted CD8+ T cells,T
X235070783674652.N,8,Any Cell,N
X235070783867821.T,11,cDC1,T
X235070783875494.N,2,Pro-angiogenesis Macrophage,N
X235070783897003.T,1,CD8+ T cell,T
X235070784167332.T,0,CD4+ T cell,T
X235070784170725.N,2,Pro-angiogenesis Macrophage,N
X235119995403676.N,4,Blood Cell,N
X235119995963676.N,3,Pro-angiogenesis Macrophage,N
X235119995991902.N,1,Effector/Memory CD4+ T cells,N
X235120010095027.N,9,Blood Cell,N
X235120010419508.N,2,Macrophage,N
X235120010651382.N,1,Effector/Memory CD4+ T cells,N
X235120023485662.N,6,Natural killer cell,N
X235120041847581.N,15,pDC,N
X235122008935220.T,2,Macrophage,T
X235122008999796.N,2,Pro-angiogenesis Macrophage,N
X235122009004333.T,9,Exhausted CD8+ T cells,T
X235122023361333.N,3,Pro-angiogenesis Macrophage,N
X235122023685414.T,0,CD4+ T cell,T
X235122036230508.T,1,Exhausted CD8+ T cells,T
X235122036496157.N,2,Pro-angiogenesis Macrophage,N
X235122036526436.T,1,Exhausted CD8+ T cells,T
X235122054846187.N,8,Non Blood Cell,N
X235122055341998.N,13,Non Blood Cell,N
X235129927490987.N,1,Effector/Memory CD8+ T cells,N
X235129927519156.N,6,Natural killer cell,N
X235129927555446.N,11,Phagocytosis Macrophage,N
X235129927748518.T,1,CD4 or CD8 T cell,T
X235129928104732.N,2,Phagocytosis Macrophage,N
X235129928271707.N,4,Macrophage,N
X235129942468444.N,1,Effector/Memory CD8+ T cells,N
X235129942694324.N,3,Pro-angiogenesis Macrophage,N
X235129942730972.T,1,Exhausted CD8+ T cells,T
X235129954752349.N,7,Pro-angiogenesis Macrophage,N
X235129954847156.N,6,CD8 T or NK cell,N
X235129955044725.T,1,Tfh/Th1 helper CD4+ T cells,T
X235129955084213.T,9,Exhausted CD8+ T cells,T
X235129955334453.T,11,LAMP3 cDC,T
X235129973652318.N,1,Effector/Memory CD8+ T cells,N
X235129974188395.T,1,CD8+ T cell,T
X235129974410539.T,1,Exhausted CD8+ T cells,T
X235188983327531.T,5,B Cell,T
X235188983614261.N,8,Lung Cancer Cell,N
X235188983646068.T,5,Blood Cell,T
X235188983842675.N,6,Natural killer cell,N
X235188984105909.N,3,Pro-angiogenesis Macrophage,N
X235188998327094.N,2,Pro-angiogenesis Macrophage,N
X235188998585627.N,1,Effector/Memory CD4+ T cells,N
X235188998592931.N,0,Effector/Memory CD8+ T cells,N
X235188998756661.T,1,CD8+ T cell,T
X235188998851427.T,1,Exhausted CD8+ T cells,T
X235189010647926.N,6,Natural killer cell,N
X235189010848101.T,5,B Cell,T
X235189010880934.N,0,Effector/Memory CD4+ T cells,N
X235189011101990.T,0,CD4+ T cell,T
X235189011109734.T,10,CAFinfla,T
X235189029522164.N,1,Effector/Memory CD8+ T cells,N
X235198513067822.N,3,Pro-angiogenesis Macrophage,N
X235198513080037.N,0,Effector/Memory CD4+ T cells,N
X235198513080739.N,2,Pro-angiogenesis Macrophage,N
X235198513371934.T,0,Effector/Memory CD8+ T cells,T
X235198513568045.T,4,Macrophage,T
X235198513596846.N,8,Non Blood Cell,N
X235198527792861.T,6,Natural killer cell,T
X235198528220403.N,1,Effector/Memory CD8+ T cells,N
X235198540114156.N,0,Blood Cell,N
X235198540536236.T,1,Exhausted CD8+ T cells,T
X235198540799397.N,4,Macrophage,N
X235198558883174.T,0,CD4+ T cell,T
X235198559213405.N,0,Effector/Memory CD4+ T cells,N
X235198559665508.N,0,Effector/Memory CD4+ T cells,N
X235198559730931.T,10,CAFinfla,T
X235199318383909.T,12,Endothelial Cells,T
X235199318387107.T,1,Exhausted CD8+ T cells,T
X235199318669100.T,5,B Cell,T
X235199318674291.T,9,CD8 T or NK cell,T
X235199318911325.N,3,Pro-angiogenesis Macrophage,N
X235199333096667.T,4,Macrophage,T
X235199333362467.T,5,B Cell,T
X235199345317613.T,0,CD4+ T cell,T
X235199345420596.N,8,Stromal Cell,N
X235199345420596.T,10,Normal Fibroblast,T
X235199345932190.T,12,Endothelial Cells,T
X235199345936795.N,0,Effector/Memory CD4+ T cells,N
X235199346203884.T,5,B Cell,T
X235199364197614.T,4,Blood Cell,T
X235199364777900.N,3,Pro-angiogenesis Macrophage,N
X235199364778229.T,5,B Cell,T
X235199365011819.N,2,Pro-angiogenesis Macrophage,N
X235199365073333.N,2,Pro-angiogenesis Macrophage,N
X235214350499243.N,3,Pro-angiogenesis Macrophage,N
X235214351002926.T,0,T regulatory cells,T
X235214351289268.T,5,B Cell,T
X235214351316829.N,3,Pro-angiogenesis Macrophage,N
X235214365178291.N,2,Pro-angiogenesis Macrophage,N
X235214365186404.T,2,Phagocytosis Macrophage,T
X235214365416172.N,1,Effector/Memory CD8+ T cells,N
X235214365473123.T,5,B Cell,T
X235214365473643.T,9,B cell or Plasmablast,T
X235214365735275.T,4,Macrophage,T
X235214377773788.T,1,Exhausted CD8+ T cells,T
X235214378067764.N,3,Pro-angiogenesis Macrophage,N
X235214378322331.T,0,CD4+ T cell,T
X235214378329949.T,0,T regulatory cells,T
X235214396606827.N,0,Effector/Memory CD4+ T cells,N
X235214396643228.T,1,Exhausted CD8+ T cells,T
X235214396669364.T,3,Phagocytosis Macrophage,T
X235214396676828.N,3,Pro-angiogenesis Macrophage,N
X235214397422380.T,0,CD4 or CD8 T cell,T
X235214397454582.T,0,Tfh/Th1 helper CD4+ T cells,T
X235533386050276.T,1,Exhausted CD8+ T cells,T
X235533386082076.T,5,B Cell,T
X235533386279348.T,1,Exhausted CD8+ T cells,T
X235533386594677.N,0,Effector/Memory CD4+ T cells,N
X235533400655790.N,3,Pro-angiogenesis Macrophage,N
X235533400754542.N,3,Pro-angiogenesis Macrophage,N
X235533400979742.T,4,B Cell,T
X235533401012523.N,4,Macrophage,N
X235533401183972.T,0,Effector/Memory CD8+ T cells,T
X235533401221340.T,0,Effector/Memory CD8+ T cells,T
X235533401505061.N,0,Blood Cell,N
X235533413268206.T,1,CD8+ T cell,T
X235533413538149.N,3,Pro-angiogenesis Macrophage,N
X235533413600053.N,2,Pro-angiogenesis Macrophage,N
X235533413862236.T,6,Exhausted CD8+ T cells,T
X235533413862620.T,1,Effector/Memory CD8+ T cells,T
X235533414059294.T,5,B Cell,T
X235533432153909.N,3,Pro-angiogenesis Macrophage,N
X235533432448876.T,1,CD8+ T cell,T
X235548418358686.T,3,Macrophage,T
X235548418391477.T,1,Effector/Memory CD8+ T cells,T
X235548418403115.T,1,Exhausted CD8+ T cells,T
X235548418403566.T,1,Exhausted CD8+ T cells,T
X235548418432349.T,2,Phagocytosis Macrophage,T
X235548433370468.T,0,T regulatory cells,T
X235548433402668.N,7,Pro-angiogenesis Macrophage,N
X235548433931676.N,7,Pro-angiogenesis Macrophage,N
X235548445628829.T,5,B Cell,T
X235548445661420.T,0,Naive CD8+ T cells,T
X235548445924123.N,2,Pro-angiogenesis Macrophage,N
X235548446451566.T,5,B Cell,T
X235548464830301.N,11,LAMP3 cDC,N
X235548465085283.T,0,CD4+ T cell,T
X235548465322206.T,4,Macrophage,T
X235548465322931.N,2,Pro-angiogenesis Macrophage,N
X235550834314164.T,0,CD4+ T cell,T
X235550834346731.N,1,Effector/Memory CD8+ T cells,N
X235550834546539.N,0,Effector/Memory CD4+ T cells,N
X235550834604963.T,0,T regulatory cells,T
X235550834646379.N,2,Pro-angiogenesis Macrophage,N
X235550834871589.T,5,Blood Cell,T
X235550834911604.T,5,B Cell,T
X235550849001198.N,7,Macrophage,N
X235550849226669.N,4,Macrophage,N
X235550849289572.N,2,Pro-angiogenesis Macrophage,N
X235550849317219.N,4,Pro-angiogenesis Macrophage,N
X235550849755053.N,2,Pro-angiogenesis Macrophage,N
X235550861547245.N,6,Natural killer cell,N
X235550861806309.T,0,CD4+ T cell,T
X235550862068060.T,2,Phagocytosis Macrophage,T
X235550862330715.N,2,Pro-angiogenesis Macrophage,N
X235550880520924.T,6,Natural killer cell,T
X235550880946987.N,7,Macrophage,N
X235550881016156.N,0,Effector/Memory CD4+ T cells,N
X235559290554221.T,1,Exhausted CD8+ T cells,T
X235559290845604.T,0,CD4+ T cell,T
X235559290878771.N,0,Effector/Memory CD4+ T cells,N
X235559304677725.N,0,Effector/Memory CD4+ T cells,N
X235559304710886.T,7,Pro-angiogenesis Macrophage,T
X235559305004901.T,1,Effector/Memory CD8+ T cells,T
X235559305239909.N,3,Pro-angiogenesis Macrophage,N
X235559305525597.N,3,Pro-angiogenesis Macrophage,N
X235559317322597.N,11,cDC2,N
X235559317364070.T,3,Pro-angiogenesis Macrophage,T
X235559317780780.T,1,Exhausted CD8+ T cells,T
X235559317884326.T,4,Macrophage,T
X235559318120158.N,1,Effector/Memory CD4+ T cells,N
X235559336438700.T,1,Exhausted CD8+ T cells,T
X235559336458141.N,2,Pro-angiogenesis Macrophage,N
X235559336753902.T,1,Exhausted CD8+ T cells,T
X235559336924901.T,0,CD4+ T cell,T
X235559337024292.T,1,Exhausted CD8+ T cells,T
X235601971571483.T,2,Phagocytosis Macrophage,T
X235601971793260.T,1,Exhausted CD8+ T cells,T
X235601985980763.T,1,Effector/Memory CD8+ T cells,T
X235601986214748.N,6,Natural killer cell,N
X235601986440116.N,3,Pro-angiogenesis Macrophage,N
X235601986537309.T,0,CD4+ T cell,T
X235601986772190.N,2,Pro-angiogenesis Macrophage,N
X235601986808179.T,5,B Cell,T
X235601998530909.N,6,Natural killer cell,N
X235601998539508.N,0,Effector/Memory CD4+ T cells,N
X235601998866228.T,0,CD4+ T cell,T
X235601999292124.T,15,pDC,T
X235601999312686.T,1,Exhausted CD8+ T cells,T
X235601999386340.N,4,Macrophage,N
X235602017401269.N,7,Pro-angiogenesis Macrophage,N
X235602017904997.T,10,CAFinfla,T
X235602017937819.N,3,Pro-angiogenesis Macrophage,N
X235602017965876.T,1,Exhausted CD8+ T cells,T
X235626667367773.N,0,T regulatory cells,N
X235626667662699.N,3,Pro-angiogenesis Macrophage,N
X235626667820965.N,2,Pro-angiogenesis Macrophage,N
X235626667829092.T,9,Exhausted CD8+ T cells,T
X235626668092645.N,6,Natural killer cell,N
X235626668111772.T,1,Effector/Memory CD8+ T cells,T
X235626682051357.T,4,Phagocytosis Macrophage,T
X235626682242908.N,1,Effector/Memory CD8+ T cells,N
X235626682537710.N,0,Effector/Memory CD4+ T cells,N
X235626682595691.T,0,Effector/Memory CD8+ T cells,T
X235626682862819.N,7,Pro-angiogenesis Macrophage,N
X235626694658990.T,0,CD4+ T cell,T
X235626695448926.N,0,Effector/Memory CD4+ T cells,N
X235626714257771.T,0,CD4+ T cell,T
X235626714314998.N,2,Pro-angiogenesis Macrophage,N
X235678475341212.N,2,Pro-angiogenesis Macrophage,N
X235678475675955.N,6,Natural killer cell,N
X235678475704555.T,5,B Cell,T
X235678475963635.N,3,Pro-angiogenesis Macrophage,N
X235678490322780.N,3,Pro-angiogenesis Macrophage,N
X235678490348764.N,3,Pro-angiogenesis Macrophage,N
X235678490380662.N,4,Pro-angiogenesis Macrophage,N
X235678490838813.T,3,Macrophage,T
X235678503226204.T,2,Phagocytosis Macrophage,T
X235678503422325.N,7,Macrophage,N
X235678521781478.N,2,Pro-angiogenesis Macrophage,N
X235678522075046.N,5,Blood Cell,N
X235678522097068.N,2,Pro-angiogenesis Macrophage,N
X235678522259758.N,0,Lung Cancer Cell,N
X235678522301876.N,7,Macrophage,N
X235695789427638.T,3,Macrophage,T
X235695789431644.N,8,Pro-angiogenesis Macrophage,N
X235695789460404.T,0,T regulatory cells,T
X235695789750062.T,0,CD4+ T cell,T
X235695789783918.T,1,Exhausted CD8+ T cells,T
X235695804202350.T,0,T regulatory cells,T
X235695804430755.T,0,CD4+ T cell,T
X235695804434853.N,2,Pro-angiogenesis Macrophage,N
X235695804667630.N,3,Pro-angiogenesis Macrophage,N
X235695804738781.N,4,Phagocytosis Macrophage,N
X235695804893604.T,5,B Cell,T
X235695804955875.N,4,Pro-angiogenesis Macrophage,N
X235695816722781.T,11,LAMP3 cDC,T
X235695816784732.N,2,Pro-angiogenesis Macrophage,N
X235695816791788.N,8,Cancer Associated Fibroblasts,N
X235695816980852.N,3,Pro-angiogenesis Macrophage,N
X235695835666653.T,1,Exhausted CD8+ T cells,T
X235695835830557.N,6,Natural killer cell,N
X235697668545460.N,6,Natural killer cell,N
X235697668573533.T,4,Macrophage,T
X235697669033195.T,8,Cancer Associated Fibroblasts,T
X235697669105892.T,0,Effector/Memory CD8+ T cells,T
X235697669294822.N,3,Pro-angiogenesis Macrophage,N
X235697669355803.T,0,Effector/Memory CD8+ T cells,T
X235697683487516.N,0,Effector/Memory CD4+ T cells,N
X235697683511662.T,0,CD4+ T cell,T
X235697683740598.T,5,B Cell,T
X235697683938677.T,5,B Cell,T
X235697683979164.T,4,Macrophage,T
X235697695741662.T,14,Mast cell,T
X235697695742374.N,2,Pro-angiogenesis Macrophage,N
X235697696553205.T,11,Macrophage,T
X235697696553909.N,7,Macrophage,N
X235697696623004.N,3,Pro-angiogenesis Macrophage,N
X235697714612126.N,2,Pro-angiogenesis Macrophage,N
X235697714968422.N,2,Pro-angiogenesis Macrophage,N
X235697714974070.T,4,Blood Cell,T
X235697715441012.T,2,Macrophage,T
X235737665419109.T,8,Non Stromal Cell,T
X235737665456477.T,0,CD4+ T cell,T
X235737666140062.N,4,Pro-angiogenesis Macrophage,N
X235737666214635.T,1,CD8+ T cell,T
X235737680107947.T,2,Phagocytosis Macrophage,T
X235737680636139.T,4,Macrophage,T
X235737680824675.N,3,Pro-angiogenesis Macrophage,N
X235737680861597.N,8,Non Blood Cell,N
X235737680885685.N,3,Pro-angiogenesis Macrophage,N
X235737693179291.T,11,Dendritic Cell,T
X235737693408181.T,5,B Cell,T
X235737693443948.T,6,CD8+ T cell,T
X235737712015157.T,5,B Cell,T
X235737712122164.N,1,Effector/Memory CD8+ T cells,N
X235737712282923.N,6,Natural killer cell,N
X235763032549150.N,2,Pro-angiogenesis Macrophage,N
X235763032570788.N,7,Pro-inflammatory Macrophage,N
X235763032808860.N,2,Pro-angiogenesis Macrophage,N
X235763032877422.T,0,CD4 or CD8 T cell,T
X235763047189869.N,3,Pro-angiogenesis Macrophage,N
X235763047487710.N,12,Endothelial Cells,N
X235763047517404.T,1,Exhausted CD8+ T cells,T
X235763047545198.T,1,Exhausted CD8+ T cells,T
X235763048074653.T,1,Effector/Memory CD8+ T cells,T
X235763060303715.N,2,Pro-angiogenesis Macrophage,N
X235763078908332.N,2,Macrophage,N
X235763078973797.N,4,Macrophage,N
X235763079169949.T,1,CD8+ T cell,T
X235763079232757.N,3,Pro-angiogenesis Macrophage,N
X235763079437733.T,5,B Cell,T
X236082068122421.T,0,CD8+ T cell,T
X236082068142892.N,2,Pro-angiogenesis Macrophage,N
X236082068150508.T,0,Exhausted CD8+ T cells,T
X236082068344173.T,4,Macrophage,T
X236082068412828.T,11,cDC2,T
X236082068645613.T,11,cDC2,T
X236082068876085.T,5,B Cell,T
X236082068908892.T,10,CAFadi,T
X236082082769836.N,3,Pro-angiogenesis Macrophage,N
X236082082793389.T,8,Normal Fibroblast,T
X236082082793902.T,1,Exhausted CD8+ T cells,T
X236082082831787.N,2,Pro-angiogenesis Macrophage,N
X236082082994012.N,7,Pro-angiogenesis Macrophage,N
X236082083063539.N,0,Effector/Memory CD4+ T cells,N
X236082083288796.T,8,Endothelial Cells,T
X236082083325676.N,1,Effector/Memory CD4+ T cells,N
X236082095405862.T,2,Macrophage,T
X236082095909667.T,1,Effector/Memory CD8+ T cells,T
X236082095941483.T,12,Endothelial Cells,T
X236082096126883.N,3,Pro-angiogenesis Macrophage,N
X236082096127411.N,4,Pro-angiogenesis Macrophage,N
X236082114255654.T,7,Macrophage,T
X236082114815837.T,5,B Cell,T
X236082115005787.N,3,Pro-angiogenesis Macrophage,N
X236082115008734.N,9,Pro-angiogenesis Macrophage,N
X236082115078366.N,6,Natural killer cell,N
X236167162117532.T,2,Phagocytosis Macrophage,T
X236167162129195.N,0,Naive CD4+ T cells,N
X236167162881838.N,2,Pro-angiogenesis Macrophage,N
X236167162969387.T,8,Cancer Associated Fibroblasts,T
X236167176829731.T,4,Macrophage,T
X236167176861556.N,6,Natural killer cell,N
X236167177030388.T,4,Macrophage,T
X236167177034085.N,0,Effector/Memory CD4+ T cells,N
X236167177070428.N,13,Lung Cancer Cell,N
X236167177558307.T,1,Exhausted CD8+ T cells,T
X236167189649262.T,14,Mast cell,T
X236167189904115.N,14,Blood Cell,N
X236167208228724.N,2,Phagocytosis Macrophage,N
X236167208294123.T,5,B Cell,T
X236167208487284.N,0,Effector/Memory CD4+ T cells,N
X236167208491829.T,5,B Cell,T
X236169981454646.N,3,Pro-angiogenesis Macrophage,N
X236169995438453.N,4,Macrophage,N
X236169996131621.T,0,CD4 or CD8 T cell,T
X236169996167531.N,7,Pro-angiogenesis Macrophage,N
X236169996225318.T,0,CD4 or CD8 T cell,T
X236169996225379.T,0,Effector/Memory CD8+ T cells,T
X236170008192884.T,1,Exhausted CD8+ T cells,T
X236170008280358.N,13,Lung Cancer Cell,N
X236170008484709.T,8,Pancreatic Cancer Cell,T
X236170008705965.N,2,Pro-angiogenesis Macrophage,N
X236170008812780.N,0,Effector/Memory CD4+ T cells,N
X236170026804966.N,3,Pro-angiogenesis Macrophage,N
X236170027060141.N,3,Pro-angiogenesis Macrophage,N
X236170027682524.N,8,Stromal Cell,N
X236175618587446.T,9,T regulatory cells,T
X236175633012587.T,0,T regulatory cells,T
X236175633373924.N,0,Effector/Memory CD4+ T cells,N
X236175645166958.T,0,T regulatory cells,T
X236175645338036.T,0,T regulatory cells,T
X236175645666083.N,7,Pro-inflammatory Macrophage,N
X236175645919963.N,0,T regulatory cells,N
X236175664245676.T,0,CD8+ T cell,T
X236175664273139.T,0,Blood Cell,T
X236175664758189.T,0,T regulatory cells,T
